arrondissement_de_residence,quartier_de_residence
Douala 3,Yassa
Douala 5,Akwa-Nord
Douala 1,Bonateki
Douala (Non précisé),Pk12
Douala 5,Ndogbong
Douala 5,Kotto
Douala 3,nyalla pariso
Douala (Non précisé),Bali
Douala 6,bonaberi
Douala 5,CITE DES PALMIERS
Douala (Non précisé),DOUALA
Douala 3,Malangue
Douala 3,Malangue
Douala 1,Deido
Douala 3,Douala
Douala (Non précisé),Village
Douala 1,Bessengue
Douala (Non précisé),NDOGBONG
Douala (Non précisé),BONABERI
Douala (Non précisé),Non précisé
Douala 1,Bonateki
Douala 3,NDOGPASSI 2
Douala (Non précisé),Pk15 
Douala 3,Yassa
Douala 5,bepanda omnisports
Douala 2,NEW-BELL
Douala (Non précisé),BRAZZAVILLE
Douala (Non précisé),Ngodi- Bakoko
Douala (Non précisé),Jardin logbaba
Douala 3,Ndokotti
Douala 2,NEW-BELL
Douala (Non précisé),Oyack
Douala 2,New bell
Douala (Non précisé),Village entrée Bille
Douala (Non précisé),Kambo boko
Douala (Non précisé),Douala
Douala 3,Ndobassi
Douala 3,Nyalla
Douala (Non précisé),Dakar
Douala (Non précisé),MBOKO
Douala (Non précisé),Bependa
Douala (Non précisé),NYALLA PAYS BAS
Douala (Non précisé),Pk8
Douala 5,kotto
Douala 3,Dakar
Douala 5,Makepe
Non précisé,Ras
Douala 3,Tradex village
Douala (Non précisé),Cité des palmiers
Douala (Non précisé),Pk14
Non précisé,Pas precise
Douala (Non précisé),Douala
Douala (Non précisé),Pk14
Tiko,TIKO
Douala 3,Yassa
Douala 3,DAKAR
Douala (Non précisé),Combi
Douala 5,Gare bessengue
Non précisé,Pas précisé
Douala (Non précisé),Bepanda
Douala (Non précisé),Cogefar
Douala (Non précisé),Non précisé
Douala 4,Ndobo 
Douala (Non précisé),Boko
Douala 5,Pk13
Douala (Non précisé),Pas précisé
Douala 5,Pk18
Non précisé,Pas précisé
Douala (Non précisé),Douala
Douala (Non précisé),Makepe missoke
Bafoussam,Bafoussam
Douala (Non précisé),Bocom safari 
Douala 2,Bonaberi
Douala (Non précisé),Bonamoussadi
Douala (Non précisé),Non precisé
Douala 3,Logbaba
Douala 3,logbaba
Douala 1,Bali
Douala (Non précisé),Japoma
Douala (Non précisé),Mbassong
Douala (Non précisé),LOGBESSOU
Douala 4,Bonaberi SCTM
Douala 5,Pk12
Douala 1,Deido
Douala (Non précisé),DOUALA
Douala (Non précisé),Brazzaville 
Douala (Non précisé),Carrefour Bonabassem
Douala (Non précisé),Ndogpassi 3
Douala 4,BONABERIE
Douala (Non précisé),Douala
Douala (Non précisé),Cité des palmiers
Douala (Non précisé),New town aéroport 
Douala (Non précisé),PK11
Douala 2,youpwe
Douala 3,Nyalla
Douala 3,nyala château
Douala (Non précisé),BONAMOUSSADI
Douala 2,Nkongmondo
Douala 5,pk10
Douala (Non précisé),Cite des palmiers
Douala (Non précisé),DOUALA
Douala (Non précisé),Deido
Douala (Non précisé),Oyack 
Douala 3,NGALLA
Douala (Non précisé),Douala
Douala (Non précisé),NYALLA
Douala (Non précisé),Douala
Douala (Non précisé),Logbaba
Douala 5,makepe
Douala (Non précisé),Japoma
Douala (Non précisé),Japoma
Douala 3,JAPOMA
Non précisé,R A S
Non précisé,Meiganga
Douala (Non précisé),Dakar
Douala (Non précisé),Deido
Non précisé,Non précisé
Douala (Non précisé),Douala
Douala (Non précisé),Terminus
Douala (Non précisé),Ngodi Bakoko
Douala 5,Bonamoussadi
Douala (Non précisé),NDOGPASSI 2
Douala 2,bonakouamouang
Douala (Non précisé),RUE FOCH
Douala (Non précisé),Elf (rond point)
Douala (Non précisé),Douala
Douala 1,Déido
Yaoundé,Nkol mbong
Douala (Non précisé),RAS
Douala (Non précisé),PK11
Douala (Non précisé),DOUALA
Douala 3,Yassa
Douala 1,Bonanjo
Douala 3,NYALLA
Douala 3,N’y alla Pariso
Douala 3,Village
Douala (Non précisé),Douala
Douala (Non précisé),RAS
Douala (Non précisé),Douala
Douala (Non précisé),DOUALA
Douala 3,Logbaba
Douala 3,Nyalla
Douala (Non précisé),Bp cité
Douala (Non précisé),Ange raphael
Douala 3,Dakar
Douala 5,PK10
Non précisé,R A S
Douala (Non précisé),Douala
Douala 3,Logbaba 
Douala (Non précisé),Cité des palmiers
Douala 1,Akwa
Douala (Non précisé),Carrefour Agip
Douala (Non précisé),BP SITE
Douala 2,Bois des singes
Douala (Non précisé),Douala
Douala 4,Bonaberi
Douala 5,Bonandale
Douala (Non précisé),Ndokoti
Douala 1,Bessengue
Douala 3,japouma
Douala (Non précisé),Japoma
Douala (Non précisé),Cite cicam
Douala (Non précisé),Douala 812.12
Douala (Non précisé),Yassa
Douala 5,Beedi
Douala (Non précisé),Bependa
Douala (Non précisé),Deido
Douala 3,Yassa
Douala 5,Bonamoussadi
Douala (Non précisé),NEW BELL
Douala (Non précisé),NYALLA
Douala (Non précisé),NDOGPASSI VILLAGE
Douala 3,Yassa
Douala (Non précisé),Douala
Douala 1,Deido
Douala (Non précisé),Ndogbong
Douala (Non précisé),DOUALA
Douala (Non précisé),Bonamoussadi
Douala 3,Nyalla
Douala (Non précisé),Ndogbong
Douala (Non précisé),Ngodi
Douala (Non précisé),BONABERI
Douala (Non précisé),Douala
Douala 3,ngodi bakoko
Douala (Non précisé),Yassa
Douala (Non précisé),Douala
Douala (Non précisé),douala
Douala (Non précisé),NDOGPASSI 1
Douala (Non précisé),JAPOMA
Douala (Non précisé),Bonapriso
Douala 3,pk12
Douala (Non précisé),Douala
Douala (Non précisé),R A S
Douala (Non précisé),Newbell
Douala (Non précisé),Newbell
Douala 5, BONAMOUSSADI 
Douala 3,Boko village
Douala 1,AKWA
Douala (Non précisé),Ndogbong Citadelle
Douala 5,SABLE BONAMOUSSADI
Douala (Non précisé),Pk8
Douala (Non précisé),Bepanda
Douala 3,Ndogpassi 3
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Ndogpassi
Douala (Non précisé),Pk11
Douala 2,New bell
Douala 3,Madagascar
Douala (Non précisé),Logbessou
Douala 3,Village
Douala (Non précisé),Borne 10 village 
Douala (Non précisé),Douala
Douala 5,Makepe
Douala 5,Terminus ucb
Douala 3,Nylon Brazzaville
Douala 1,Deido
Non précisé,RAS
Douala (Non précisé),Bonaberi
Douala 3,Ndogpassi marché
Douala 3,Nyalla 
Douala (Non précisé),BOKO
Douala 3,Bilongue
Douala 4,Bonaberi
Douala (Non précisé),Village
Douala 5,LOGPOM
Douala (Non précisé),Kotto
Douala (Non précisé),Douala
Douala 3,Nyalla-kambo
Douala (Non précisé),MAKEPE
Douala 3,Yassa
Douala 3,Ari
Douala (Non précisé),Pk10
Douala (Non précisé),R A S
Douala (Non précisé),BEPENDA MATURITE
Douala (Non précisé),Pk14
Douala (Non précisé),Pk12
Douala (Non précisé),Boko
Douala (Non précisé),DOUALA
Douala (Non précisé),Entree bille
Douala 3,Brazzaville
Douala 3,Ndogpassi 2
Douala 2,NEW BELL
Douala 3,Godi Bokocie
Douala (Non précisé),Beedi
Douala (Non précisé),Douala
Douala 3,BORNE 10
Douala (Non précisé),Douala
Douala 5,Binamoussadi
Douala 3,nboko
Douala (Non précisé),Non precisé
Douala 3,Yassa
Douala (Non précisé),Ndogbong
Douala (Non précisé),Nyalla
Douala (Non précisé),Bonaloka
Douala 3,dakar
Douala (Non précisé),Non précisé
Douala 3,village
Douala (Non précisé),Ndogbong 
Douala 5,Pk8
Douala (Non précisé),Dogbassi 3
Douala 3,YASSA
Douala (Non précisé),Ndogbong 
Douala 5,Bonamousadi 
Douala (Non précisé),PK5
Douala 3,Douala Ndopassiz
Douala 5,NGANGUE
Douala 5,Pk11
Douala 3,japouma
Douala 2,NEW BELL
Douala 2,Dakar
Boko,BOKO
Douala 5,Bonamoussadi
Douala (Non précisé),Douala
Douala 3,Bilongue
Douala (Non précisé),Yatika
Douala (Non précisé),Village 
Kribi,Kribi
Douala 5,Makepe Misoke 
Douala (Non précisé),NDOGPASSI 3
Douala 3,NDOGPASSI
Douala (Non précisé),RAS 
Douala (Non précisé),Bonamoussadi
Douala (Non précisé),Ndogsibi
Douala (Non précisé),Bonapriso
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala 5,ndogbong
Douala (Non précisé),Ndokoti
Douala 3,Village 
Douala (Non précisé),Makafo
Douala (Non précisé),Regeneration
Douala 2,New bell
Douala 4,Bonaberie
Douala 3,logbaba
Douala 1,Mboppi
Douala 3,Logbaba
Douala 3,ndogpassi
Douala (Non précisé),Brazzaville
Douala (Non précisé),Non précisé
Douala (Non précisé),Douala
Douala 4,Dibombari
Douala (Non précisé),Bilongue
Douala 3,Beedi
Douala (Non précisé),Douala
Douala 5,pk8
Douala 1,Bonamoussadi
Douala (Non précisé),NGODI BAKOKO
Douala (Non précisé),Non précisé
Douala 3,VILLAGE
Douala (Non précisé),YASSA
Douala 1,Deido
Douala (Non précisé),Douala
Douala (Non précisé),Pk8
Douala 5,pk9
Douala 3,Nyalla
Douala 3,Nyalla
Douala (Non précisé),Cité des palmiers
Douala (Non précisé),Bepanda
Douala (Non précisé),Bependa
Douala 2,New bell
Douala (Non précisé),Bali
Douala 2,Newbell 
Douala (Non précisé),Douala
Douala 2,Nkongmondo
Douala (Non précisé),Globo
Douala 3,Pk12
Douala (Non précisé),Pk5 new bell
Douala 2,Nkongmondo
Douala 5,BONAMOUSSADI
Douala (Non précisé),BP Cité
Douala 5,pk10
Douala 5,Douala
Douala (Non précisé),Non précisé
Douala 1,AKWA
Douala 5,Bepanda
Douala 4,Bonaberie
Douala 1,Deido
Douala 3,Ndokoti
Douala (Non précisé),Douala
Douala 3,Brazzaville
Douala 5,NDOGPASSI 
Douala (Non précisé),Douala-douala
Douala 3,Ngodi bakoko
Douala 5,Sic cacao
Douala (Non précisé),Non précisé
Douala (Non précisé),Boko
Douala 3,Ndopassi 3
Douala (Non précisé),DAKAR
Douala (Non précisé),NDOGPASSI VILLAGE
Douala (Non précisé),Bependa
Douala (Non précisé),Bahan
Douala 3,Bilongue
Douala 1,Deido
Douala 3,yassa
Douala (Non précisé),Non précisé
Kribi,Kribi
Douala (Non précisé),Billongue
Douala (Non précisé),Borne 10
Douala 4,bonaberi entree cebec
Douala (Non précisé),BONABERI
Douala 5,Bonamoussadi
Douala 2,New bell
Douala 5,Bonamoussadi
Douala (Non précisé),douala
Douala 3,Ndg-bong
Douala 1,Bali
Douala (Non précisé),Douala
Douala 4,Bonaberi 
Douala (Non précisé),Douala
Douala 2,Douala
Douala (Non précisé),Douala 
Douala (Non précisé),KOTTO BONAMOUSSADI
Douala (Non précisé),Ndogpassi 2
Douala (Non précisé),Bepanda
Douala (Non précisé),Village
Douala 5,Logbessou
Douala 4,Bonaberie
Douala (Non précisé),NDOGPASSI 2
Douala 3,Village
Douala 3,Yassa
Douala 5,Logpom
Douala (Non précisé),Bepanda omnisport
Douala 5,LOGPOM
Douala (Non précisé),Douala
Douala (Non précisé),Bonapriso
Douala (Non précisé),Brazaville
Douala (Non précisé),Bependa 
Douala (Non précisé),Douala
Douala (Non précisé),Logbaba
Douala (Non précisé),Pk8
Douala (Non précisé),BOIS DE SINGE
Douala 3,Ndogpassi3
Douala (Non précisé),R A S
Douala (Non précisé),Yassa
Douala 5,New-Bell
Douala (Non précisé),Elf
Douala 3,Yassa
Douala (Non précisé),TEXACO AEROPORT
Douala (Non précisé),Cite cicam
Douala (Non précisé),Douala
Douala (Non précisé),Ndogbong
Douala (Non précisé),Douala
Douala (Non précisé),Pk8
Douala (Non précisé),BEPANDA
Douala (Non précisé),Douala
Douala (Non précisé),ARI
Douala (Non précisé),Hôpital général de douala 
Douala (Non précisé),Boko
Douala 5,PK14
Douala (Non précisé),Pk16(sappe )
Douala 2,bonapriso
Douala (Non précisé),Bependa
Douala (Non précisé),Malangue
Douala 5,Pk14
Douala (Non précisé),MAKEPE
Douala 1,Bonamoussadi
Douala (Non précisé),Douala
Douala (Non précisé),Ngodi bakoko
Douala (Non précisé),Douala
Douala 3,Village
Douala (Non précisé),Bangapongo 
Douala 2,newbell
Douala (Non précisé),Genie militaire
Douala (Non précisé),Bakoko
Douala 5,Makèpè
Douala (Non précisé),Douala
Douala (Non précisé),Beedi
Douala 5,logbessou
Douala (Non précisé),She’ll-village
Douala 6,bonaberi
Douala 3,village
Douala (Non précisé),VILLAGE
Douala 3,Douala oyack
Douala 1,Akwa
Douala (Non précisé), NDOGPASSI 3
Douala (Non précisé),NYALLA HAOUSSA
Douala (Non précisé),Bependa
Douala (Non précisé),Oyack
Douala (Non précisé),Entree bille
Douala 3,Village
Douala 3,Ngodi bakoko
Douala 5,Bilongue
Douala (Non précisé),PK11 MBENGUE CITY
Douala (Non précisé),Pk11
Ouest,West
Douala 1,Deido
Douala (Non précisé),Bonapriso
Douala 5,CITE DES PAKMIERS
Douala (Non précisé),Bonapriso
Douala 3,Ndogpassi
Douala 1,Deido
Douala 3,LOGBABA
Douala 2,New bell
Douala (Non précisé),Pk8
Douala (Non précisé),PK12 MANDJAB
Douala (Non précisé),Cite de palmier
Douala 5,Cité des palmiers
Douala 3,Yassa
Douala (Non précisé),ENRI
Douala 3,Village
Douala 2,New bel 
Douala 1,Akwa
Douala (Non précisé),CITE DE BILLE 
Douala 1,BESSENGUE
Non précisé,SOBOUM
Douala 2,bois des singes
Douala (Non précisé),Pk17
Douala (Non précisé),Songmahop
Douala 1,Bonamoussadi
Douala (Non précisé),BONABERI
Douala 4,Bonabéri 
Njombé,Non précisé
Douala 5,Cite sic
Meiganga,Meiganga
Douala 3,NDOGPASSI
Douala 3,Ndog-Passi
Douala 5,Makepe
Douala 2,newbell
Douala 3,Nyalla
Douala (Non précisé),Nkoulouloun
Douala (Non précisé),Makepe
Douala 3,Ndogpassi 3
Douala (Non précisé),Ndogpassi
Douala 5,makepe
Douala (Non précisé),Yassa
Douala (Non précisé),Village
Douala (Non précisé),NDOPASSI III
Douala (Non précisé),NGODI BAKOKO
Douala (Non précisé),PK18
Non précisé,Non précisé
Douala 4,Bonambappe
Douala (Non précisé),Makepe
Douala (Non précisé),Pk14
Douala (Non précisé),Makepe
Douala (Non précisé),Mbangue
Douala (Non précisé),Newbell
Douala (Non précisé),Pas precisé
Douala 3,Ndogpassi 3
Douala 3,Village
Douala (Non précisé),Douala
Douala 5,Makepe
Douala 3,Village Cite de bille
Douala (Non précisé),DEIDO
Douala (Non précisé),Yassa
Douala (Non précisé),NDOGPASSI 2
Douala (Non précisé),Cité cic
Douala (Non précisé),Bependa casmando
Douala (Non précisé),New bell
Douala 3,Nyalla Kambo 2
Douala (Non précisé),DOUALA
Douala 5,Makepe
Douala (Non précisé),DOUALA
Douala (Non précisé),Yassa
Douala 3,Yassa
Douala 2,Ngodi bakoko
Douala (Non précisé),douala
Douala 5,Cité sic
Douala 3,NYALLA
Douala (Non précisé),Pk13
Douala 3,Logbaba
Douala 3,Cité des palmiers
Douala 5,Cité de palmiers
Douala (Non précisé),Cité-sic bassa
Douala (Non précisé),PK10
Douala (Non précisé),Pk14
Douala 4,Bonamikano
Douala (Non précisé),Non precisé
Douala 5,Kotto
Douala 1,Deido
Douala 3,Ndogpassi 3
Douala (Non précisé),DOUALA
Douala 1,Deido
Douala 4,Bonaberi 
Douala 3,VILLAGE
Douala 2,newbell
Douala 3,Diboum 3
Douala (Non précisé),Ari 
Douala 3,MBOKO
Douala (Non précisé),Yansoki 
Douala 5,Makepe
Douala (Non précisé),Boko cogefar
Douala (Non précisé),Pas precisé
Douala (Non précisé),BEEDI
Douala (Non précisé),Nyalla 
Édéa,Edea
Douala 3,Logbaba
Douala (Non précisé),NDOKOTI
Douala (Non précisé),Ndokoti
Douala (Non précisé),RAS
Douala 3,LOGBABA
Douala (Non précisé),Bali
Douala (Non précisé),Brazzaville 
Douala 5,LOGBESSOU
Douala (Non précisé),Cité cic
Douala (Non précisé),Newbell
Nkouabang,Nkouabang
Douala 3,Carrefour ari
Douala 3,PK9
Douala (Non précisé),Pk10
Douala (Non précisé),Douala
Douala (Non précisé),Bonamoussadi 
Douala (Non précisé),Bali
Douala (Non précisé),Douala
Douala 3,Village borne 10
Douala (Non précisé),Douala
Douala 3,Logbaba
Douala 3,LOGBABA
Douala 5,BONAMOUSSADI
Douala 3,CITE DES PALMIERS
Douala (Non précisé),New-Bell
Douala (Non précisé),Douala
Douala 5,Pk11
Douala 4,Beedi
Douala 1,AKWA
Douala (Non précisé),BP CITE
Douala 3,Village
Douala 3,Entrée mini Cité cogefar
Douala 3,Ari
Douala 2,Newbell
Édéa,Edea
Douala (Non précisé),Douala
Douala 3,Logbaba saint Thomas
Douala (Non précisé),TRADEX BONNE DIX
Douala 1,AKWA-NORD
Douala 3,Pk 13 
Douala (Non précisé),Ndobong
Douala 4,Bonaberi
Douala 5,PK 10
Douala (Non précisé),Douala
Douala 5,NDOGBOM
Douala 3,Bonaloka
Douala (Non précisé),Douala
Douala (Non précisé),NON PRECISE
Douala (Non précisé),Pk8
Douala (Non précisé),Pk 10
Douala (Non précisé),Bependa
Douala (Non précisé),ROND POINT CCC
Douala (Non précisé),Logbessou
Douala 3,NDOGPASSI 2
Douala 5,NDOGBOM
Douala (Non précisé),Beedi
Douala (Non précisé),Non précisé
Douala (Non précisé),DOUALA
Douala (Non précisé),Nyalla pariso 
Douala (Non précisé),Douala
Douala 3,Douala Nyalla
Douala 3,Douala Nyalla
Douala (Non précisé),Boko
Douala (Non précisé),BOKO
Douala 3,BOKO
Douala 3,Ndogpassi
Douala (Non précisé),non precisé
Douala (Non précisé),Dakar
Douala 1,BALI
Douala 1,BONAMODORO DIEDO
Douala 4,BONABERI
Douala (Non précisé),PK30
Douala (Non précisé),Soboum-Dakar 
Douala (Non précisé),Ange rafael
Ngodi Bakoko,Ngodi Bakoko
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Total Nkolmbon
Douala 3,Village
Douala 3,Nylon brazzaville
Douala (Non précisé),Pk14
Douala (Non précisé),Anhe rafael
Douala (Non précisé),Village
Douala (Non précisé),PK9
Douala (Non précisé),NYALLA
Douala (Non précisé),Douala
Douala (Non précisé),Bonaberi
Douala (Non précisé),Douala
Douala (Non précisé),Dakar
Douala (Non précisé),Mboko
Douala (Non précisé),Makepe
Douala (Non précisé),Yassa 
Douala 5,makepe
Douala (Non précisé),DOUALA
Douala (Non précisé),Pk9
Douala (Non précisé),New bell
Douala (Non précisé),Terminus saint Michel 
Douala (Non précisé),NEW-BELL
Douala 1,Akwa nord
Douala (Non précisé),Rue koloko bonapriso
Douala (Non précisé),Beedi
Douala (Non précisé),Bwang Bakoko
Douala (Non précisé),Douala
Douala (Non précisé),Bali
Douala 4,Bonaberi
Douala (Non précisé),DOUALA
Douala (Non précisé),DOUALA
Édéa,Edea
Douala (Non précisé),Ndokotti ccc
Douala 1,Akwa
Douala (Non précisé),Makepe
Non précisé,Non précisé
Douala (Non précisé),douala
Douala (Non précisé),douala
Douala 3,Village
Douala 5,Logpom
Douala 3,boko
Douala (Non précisé),Ngodi
Douala (Non précisé),Ngodi bakogo
Douala (Non précisé),Bependa
Douala 5,Kotto
Douala 5,Bonamoussadi
Douala (Non précisé),Douala
Douala 4,Bonaberi 
Douala 3,Bepanda
Douala (Non précisé),Entree chinoise
Douala 2,NEW BELL
Douala 4,Bonaberi
Douala (Non précisé),BONANDJO
Douala (Non précisé),Cité des palmiers
Douala 1,Bonamoussadi
Douala (Non précisé),Bonanjo
Douala 3,nyalla
Douala 5,PK10
Non précisé,Ras
Douala (Non précisé),PK9
Douala 5,Pk10
Douala 4,Bonaberi
Douala (Non précisé),NKONMONDO
Douala 3,Ndokotti
Douala (Non précisé),Douala
Douala 3,Bonamoussadi
Douala (Non précisé),DOUALA
